DateKey,Sales Date,Month,Day,Year,MonthName,DayofWeek,WeekendorWeekday,WeeKNumber,Quarter,YearMonth,YearQuarter,YearWeekNumber,YearWeekdayOrWeekend,YearDayOfWeek
03092015,3/9/2015,3,9,2015,March,Monday,Weekday,11,Quarter 1,2015-March,2015-Quarter 1,2015-11,2015-Weekday,2015-Monday
03102015,3/10/2015,3,10,2015,March,Tuesday,Weekday,11,Quarter 1,2015-March,2015-Quarter 1,2015-11,2015-Weekday,2015-Tuesday
03112015,3/11/2015,3,11,2015,March,Wednesday,Weekday,11,Quarter 1,2015-March,2015-Quarter 1,2015-11,2015-Weekday,2015-Wednesday
03122015,3/12/2015,3,12,2015,March,Thursday,Weekday,11,Quarter 1,2015-March,2015-Quarter 1,2015-11,2015-Weekday,2015-Thursday
03132015,3/13/2015,3,13,2015,March,Friday,Weekday,11,Quarter 1,2015-March,2015-Quarter 1,2015-11,2015-Weekday,2015-Friday
03142015,3/14/2015,3,14,2015,March,Saturday,Weekend,11,Quarter 1,2015-March,2015-Quarter 1,2015-11,2015-Weekend,2015-Saturday
03152015,3/15/2015,3,15,2015,March,Sunday,Weekend,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekend,2015-Sunday
03162015,3/16/2015,3,16,2015,March,Monday,Weekday,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekday,2015-Monday
03172015,3/17/2015,3,17,2015,March,Tuesday,Weekday,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekday,2015-Tuesday
03182015,3/18/2015,3,18,2015,March,Wednesday,Weekday,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekday,2015-Wednesday
03192015,3/19/2015,3,19,2015,March,Thursday,Weekday,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekday,2015-Thursday
03202015,3/20/2015,3,20,2015,March,Friday,Weekday,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekday,2015-Friday
03212015,3/21/2015,3,21,2015,March,Saturday,Weekend,12,Quarter 1,2015-March,2015-Quarter 1,2015-12,2015-Weekend,2015-Saturday
03222015,3/22/2015,3,22,2015,March,Sunday,Weekend,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekend,2015-Sunday
03232015,3/23/2015,3,23,2015,March,Monday,Weekday,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekday,2015-Monday
03242015,3/24/2015,3,24,2015,March,Tuesday,Weekday,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekday,2015-Tuesday
03252015,3/25/2015,3,25,2015,March,Wednesday,Weekday,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekday,2015-Wednesday
03262015,3/26/2015,3,26,2015,March,Thursday,Weekday,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekday,2015-Thursday
03272015,3/27/2015,3,27,2015,March,Friday,Weekday,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekday,2015-Friday
03282015,3/28/2015,3,28,2015,March,Saturday,Weekend,13,Quarter 1,2015-March,2015-Quarter 1,2015-13,2015-Weekend,2015-Saturday
03292015,3/29/2015,3,29,2015,March,Sunday,Weekend,14,Quarter 1,2015-March,2015-Quarter 1,2015-14,2015-Weekend,2015-Sunday
03302015,3/30/2015,3,30,2015,March,Monday,Weekday,14,Quarter 1,2015-March,2015-Quarter 1,2015-14,2015-Weekday,2015-Monday
03312015,3/31/2015,3,31,2015,March,Tuesday,Weekday,14,Quarter 1,2015-March,2015-Quarter 1,2015-14,2015-Weekday,2015-Tuesday
04012015,4/1/2015,4,1,2015,April,Wednesday,Weekday,14,Quarter 2,2015-April,2015-Quarter 2,2015-14,2015-Weekday,2015-Wednesday
04022015,4/2/2015,4,2,2015,April,Thursday,Weekday,14,Quarter 2,2015-April,2015-Quarter 2,2015-14,2015-Weekday,2015-Thursday
04032015,4/3/2015,4,3,2015,April,Friday,Weekday,14,Quarter 2,2015-April,2015-Quarter 2,2015-14,2015-Weekday,2015-Friday
04042015,4/4/2015,4,4,2015,April,Saturday,Weekend,14,Quarter 2,2015-April,2015-Quarter 2,2015-14,2015-Weekend,2015-Saturday
04052015,4/5/2015,4,5,2015,April,Sunday,Weekend,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekend,2015-Sunday
04062015,4/6/2015,4,6,2015,April,Monday,Weekday,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekday,2015-Monday
04072015,4/7/2015,4,7,2015,April,Tuesday,Weekday,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekday,2015-Tuesday
04082015,4/8/2015,4,8,2015,April,Wednesday,Weekday,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekday,2015-Wednesday
04092015,4/9/2015,4,9,2015,April,Thursday,Weekday,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekday,2015-Thursday
04102015,4/10/2015,4,10,2015,April,Friday,Weekday,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekday,2015-Friday
04112015,4/11/2015,4,11,2015,April,Saturday,Weekend,15,Quarter 2,2015-April,2015-Quarter 2,2015-15,2015-Weekend,2015-Saturday
